path,subject_id,hand,quality,reason
data\processed\bmpd_roi\001\001_F_R_0_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_1_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_2_roi.png,001,R,b,crop
data\processed\bmpd_roi\001\001_F_R_3_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_4_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_5_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_6_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_7_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_8_roi.png,001,R,,
data\processed\bmpd_roi\001\001_F_R_9_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_10_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_11_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_12_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_13_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_14_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_15_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_16_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_17_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_18_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_R_19_roi.png,001,R,,
data\processed\bmpd_roi\001\001_S_L_20_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_21_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_22_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_23_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_24_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_25_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_26_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_27_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_28_roi.png,001,L,,
data\processed\bmpd_roi\001\001_S_L_29_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_30_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_31_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_32_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_33_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_34_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_35_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_36_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_37_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_38_roi.png,001,L,,
data\processed\bmpd_roi\001\001_F_L_39_roi.png,001,L,,
data\processed\bmpd_roi\002\002_F_R_0_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_1_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_2_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_3_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_4_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_5_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_6_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_7_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_8_roi.png,002,R,,
data\processed\bmpd_roi\002\002_F_R_9_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_10_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_11_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_12_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_13_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_14_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_15_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_16_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_17_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_18_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_R_19_roi.png,002,R,,
data\processed\bmpd_roi\002\002_S_L_20_roi.png,002,L,,
data\processed\bmpd_roi\002\002_S_L_21_roi.png,002,L,,
data\processed\bmpd_roi\002\002_S_L_22_roi.png,002,L,,
data\processed\bmpd_roi\002\002_S_L_23_roi.png,002,L,,
data\processed\bmpd_roi\002\002_S_L_24_roi.png,002,L,,
data\processed\bmpd_roi\002\002_S_L_25_roi.png,002,L,,
data\processed\bmpd_roi\002\002_S_L_26_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_S_L_27_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_S_L_28_roi.png,002,L,,
data\processed\bmpd_roi\002\002_S_L_29_roi.png,002,L,,
data\processed\bmpd_roi\002\002_F_L_30_roi.png,002,L,,
data\processed\bmpd_roi\002\002_F_L_31_roi.png,002,L,,
data\processed\bmpd_roi\002\002_F_L_32_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_F_L_33_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_F_L_34_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_F_L_35_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_F_L_36_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_F_L_37_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_F_L_38_roi.png,002,L,b,crop
data\processed\bmpd_roi\002\002_F_L_39_roi.png,002,L,b,crop
data\processed\bmpd_roi\003\003_F_R_0_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_1_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_2_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_3_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_4_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_5_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_6_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_7_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_8_roi.png,003,R,,
data\processed\bmpd_roi\003\003_F_R_9_roi.png,003,R,,
data\processed\bmpd_roi\003\003_S_R_10_roi.png,003,R,,
data\processed\bmpd_roi\003\003_S_R_11_roi.png,003,R,,
data\processed\bmpd_roi\003\003_S_R_12_roi.png,003,R,,
